No.;Time;Source;Destination;Protocol;Length;Info;time 2;Time;delay;delay2;delay 1;jitter
71;20,249484;192.168.43.13;40.90.23.208;TCP;66;[TCP Dup ACK 68#1] 49879  >  443 [ACK] Seq=5396 Ack=10485 Win=65280 Len=0 SLE=13045 SRE=14325;20,249581;20,249484;9,7E-05;0,000164;-6,7E-05;0,000231
72;20,249581;192.168.43.13;40.90.23.208;TCP;66;49879  >  443 [ACK] Seq=5396 Ack=11765 Win=64000 Len=0 SLE=13045 SRE=14325;20,249745;20,249581;0,000164;5E-05;0,000114;-6,4E-05
74;20,249745;40.90.23.208;192.168.43.13;TCP;1334;[TCP Out-Of-Order] 443  >  49879 [ACK] Seq=11765 Ack=5396 Win=9235 Len=1280 [TCP segment of a reassembled PDU];20,249795;20,249745;5E-05;0,001391;-0,001341;0,002732
75;20,249795;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [ACK] Seq=5396 Ack=14325 Win=65280 Len=0;20,251186;20,249795;0,001391;0,053458;-0,052067;0,105525
76;20,251186;40.90.23.208;192.168.43.13;TLSv1.2;432;Application Data, Application Data;20,304644;20,251186;0,053458;0,002978;0,05048;-0,047502
77;20,304644;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [ACK] Seq=5396 Ack=14703 Win=64902 Len=0;20,307622;20,304644;0,002978;0,045861;-0,042883;0,088744
79;20,307622;192.168.43.13;40.70.224.145;TCP;66;49880  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;20,353483;20,307622;0,045861;0,019374;0,026487;-0,007113
80;20,353483;192.168.43.13;40.90.23.208;TCP;54;49879  >  443 [FIN, ACK] Seq=5396 Ack=14703 Win=64902 Len=0;20,372857;20,353483;0,019374;9,3E-05;0,019281;-0,019188
81;20,372857;40.70.224.145;192.168.43.13;TCP;66;443  >  49880 [SYN, ACK] Seq=0 Ack=1 Win=13600 Len=0 MSS=1360 WS=1 SACK_PERM=1;20,37295;20,372857;9,3E-05;0,00044;-0,000347;0,000787
82;20,37295;192.168.43.13;40.70.224.145;TCP;54;49880  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;20,37339;20,37295;0,00044;0,019991;-0,019551;0,039542
83;20,37339;192.168.43.13;40.70.224.145;TLSv1.2;265;Client Hello;20,393381;20,37339;0,019991;0,019131;0,00086;0,018271
84;20,393381;40.90.23.208;192.168.43.13;TCP;54;443  >  49879 [ACK] Seq=14703 Ack=5397 Win=9235 Len=0;20,412512;20,393381;0,019131;0,170165;-0,151034;0,321199
85;20,412512;40.70.224.145;192.168.43.13;TCP;54;443  >  49880 [ACK] Seq=1 Ack=212 Win=13811 Len=0;20,582677;20,412512;0,170165;4,5E-05;0,17012;-0,170075
86;20,582677;117.18.237.29;192.168.43.13;TCP;54;80  >  49869 [ACK] Seq=1 Ack=1 Win=292 Len=0;20,582722;20,582677;4,5E-05;;4,5E-05;-4,5E-05
87;20,582722;192.168.43.13;117.18.237.29;TCP;54;[TCP ACKed unseen segment] 49869  >  80 [ACK] Seq=1 Ack=2 Win=260 Len=0;;;;;;
;;;;;;;;;;;;
;;;;;;;total delay;20,582722;;total jitter;20,58265;
;;;;;;;;;;;;
;;;;;;;rata2 delay;0,239333977;;rata2 jitter;0,23933314;
